Ã…rstall;Befolkning 1. januar
1951;3280296
1952;3310821
1953;3342754
1954;3375870
1955;3408161
1956;3445673
1957;3477786
1958;3510199
1959;3540531
1960;3570554
1961;3594771
1962;3624829
1963;3653009
1964;3680068
1965;3708609
1966;3737696
1967;3769559
1968;3802479
1969;3835486
1970;3866468
1971;3888305
1972;3917773
1973;3948235
1974;3972990
1975;3997525
1976;4017101
1977;4035202
1978;4051208
1979;4066134
1980;4078900
1981;4092340
1982;4107063
1983;4122511
1984;4134353
1985;4145845
1986;4159187
1987;4175521
1988;4198289
1989;4220686
1990;4233116
1991;4249830
1992;4273634
1993;4299167
1994;4324815
1995;4348410
1996;4369957
1997;4392714
1998;4417599
1999;4445329
2000;4478497
2001;4503436
2002;4524066
2003;4552252
2004;4577457
2005;4606363
2006;4640219
2007;4681134
2008;4737171
2009;4799252
2010;4858199
2011;4920305
2012;4985870
2013;5051275
2014;5109056
2015;5165802
2016;5213985
2017;5258317
2018;5295619
2019;5328212
2020;5367580
2021;5391369
2022;5425270